# ID_V                   ID_I                      RA             DEC
  0079.706_1034.068V     0079.412_1033.676i   17:40:17.803   -53:34:50.52
  0080.017_1113.271V     0079.544_1113.099i   17:40:17.784   -53:34:11.18
  0080.320_0652.457V     0080.587_0652.323i   17:40:18.013   -53:38:00.04
  0080.538_0081.507V     0079.860_0081.208i   17:40:18.288   -53:42:43.60
  0080.633_0611.625V     0081.017_0611.449i   17:40:18.049   -53:38:20.32
  0081.495_0032.977V     0080.960_0032.714i   17:40:18.364   -53:43:07.70
  0081.658_0826.546V     0080.815_0826.216i   17:40:18.007   -53:36:33.57
  0081.705_0666.527V     0082.027_0666.392i   17:40:18.083   -53:37:53.05
  0082.050_0485.059V     0081.305_0484.978i   17:40:18.186   -53:39:23.17
  0082.238_0475.272V     0081.581_0475.189i   17:40:18.201   -53:39:28.03
  0082.292_0535.375V     0082.566_0535.223i   17:40:18.177   -53:38:58.18
  0082.305_0219.438V     0081.571_0219.349i   17:40:18.323   -53:41:35.09
  0083.521_0726.256V     0082.725_0726.133i   17:40:18.157   -53:37:23.38
  0084.298_0413.982V     0083.777_0413.867i   17:40:18.345   -53:39:58.46
  0084.377_0203.968V     0083.620_0203.755i   17:40:18.446   -53:41:42.77
  0084.872_0932.112V     0084.306_0931.961i   17:40:18.138   -53:35:41.13
  0084.968_0804.746V     0084.338_0804.548i   17:40:18.202   -53:36:44.39
  0086.031_0600.620V     0086.562_0600.508i   17:40:18.355   -53:38:25.76
  0086.166_0217.287V     0085.523_0216.971i   17:40:18.540   -53:41:36.15
  0086.514_0472.541V     0085.828_0472.575i   17:40:18.441   -53:39:29.37
  0087.379_0519.569V     0086.767_0519.320i   17:40:18.468   -53:39:06.01
  0088.489_0423.773V     0087.811_0423.589i   17:40:18.574   -53:39:53.58
  0088.960_0416.246V     0088.476_0416.031i   17:40:18.604   -53:39:57.32
  0089.452_1127.805V     0088.879_1127.642i   17:40:18.303   -53:34:03.92
  0089.520_0724.423V     0089.051_0724.290i   17:40:18.493   -53:37:24.26
  0089.548_0581.336V     0089.000_0581.168i   17:40:18.561   -53:38:35.33
  0089.588_0249.666V     0088.655_0249.677i   17:40:18.716   -53:41:20.05
  0089.802_0544.565V     0089.187_0544.394i   17:40:18.592   -53:38:53.59
  0090.354_0410.200V     0089.807_0409.904i   17:40:18.685   -53:40:00.32
  0090.389_0635.633V     0089.907_0635.396i   17:40:18.583   -53:38:08.36
  0090.578_0533.693V     0089.988_0533.594i   17:40:18.640   -53:38:58.98
  0091.931_0459.637V     0091.307_0459.470i   17:40:18.750   -53:39:35.76
  0092.069_0161.018V     0091.440_0160.877i   17:40:18.896   -53:42:04.07
  0092.093_0477.786V     0091.405_0477.639i   17:40:18.751   -53:39:26.74
  0092.349_0095.427V     0091.875_0095.326i   17:40:18.942   -53:42:36.64
  0092.626_0081.693V     0092.072_0081.505i   17:40:18.964   -53:42:43.46
  0092.783_0793.217V     0092.140_0793.086i   17:40:18.643   -53:36:50.08
  0093.376_0606.098V     0092.738_0605.979i   17:40:18.763   -53:38:23.01
  0093.842_0487.820V     0093.231_0487.643i   17:40:18.844   -53:39:21.75
  0094.405_0109.397V     0093.952_0109.166i   17:40:19.051   -53:42:29.70
  0094.485_0155.026V     0093.956_0154.977i   17:40:19.034   -53:42:07.03
  0094.567_0733.831V     0094.045_0733.650i   17:40:18.770   -53:37:19.57
  0094.937_1107.030V     0094.347_1106.795i   17:40:18.619   -53:34:14.22
  0096.789_0186.166V     0096.098_0186.046i   17:40:19.148   -53:41:51.56
  0096.905_0348.982V     0096.227_0348.831i   17:40:19.079   -53:40:30.69
  0097.095_0548.144V     0096.386_0548.016i   17:40:18.998   -53:38:51.78
  0097.754_0756.691V     0098.028_0756.565i   17:40:18.938   -53:37:08.20
  0097.851_0848.431V     0098.331_0848.238i   17:40:18.901   -53:36:22.64
  0097.880_0256.692V     0097.318_0256.596i   17:40:19.177   -53:41:16.53
  0099.926_0617.717V     0099.277_0617.607i   17:40:19.123   -53:38:17.21
  0100.967_0309.999V     0100.327_0309.846i   17:40:19.324   -53:40:50.04
  0101.170_0329.302V     0100.639_0329.195i   17:40:19.327   -53:40:40.45
  0102.195_0910.277V     0102.543_0909.168i   17:40:19.115   -53:35:51.91
  0102.727_0637.108V     0102.068_0636.981i   17:40:19.271   -53:38:07.57
  0103.857_0016.757V     0103.250_0016.543i   17:40:19.623   -53:43:15.67
  0104.446_0846.907V     0104.806_0846.843i   17:40:19.270   -53:36:23.37
  0105.456_0268.311V     0105.200_0267.851i   17:40:19.595   -53:41:10.72
  0105.682_0519.472V     0104.894_0519.306i   17:40:19.491   -53:39:05.98
  0105.943_0372.255V     0105.111_0372.194i   17:40:19.574   -53:40:19.10
  0107.215_0599.721V     0106.478_0599.549i   17:40:19.539   -53:38:26.12
  0107.573_0842.725V     0107.777_0842.686i   17:40:19.446   -53:36:25.43
  0107.870_0405.698V     0107.400_0405.383i   17:40:19.666   -53:40:02.48
  0109.695_1076.143V     0109.106_1075.990i   17:40:19.456   -53:34:29.50
  0110.219_0473.073V     0109.212_0472.420i   17:40:19.766   -53:39:29.01
  0111.543_0431.621V     0110.827_0431.477i   17:40:19.859   -53:39:49.59
  0111.674_0500.633V     0110.880_0500.650i   17:40:19.834   -53:39:15.32
  0112.336_0394.898V     0111.613_0394.731i   17:40:19.920   -53:40:07.83
  0112.388_0303.222V     0111.693_0303.002i   17:40:19.966   -53:40:53.36
  0112.451_0202.183V     0111.801_0201.985i   17:40:20.017   -53:41:43.54
  0112.776_0832.682V     0113.132_0832.537i   17:40:19.741   -53:36:30.40
  0112.821_0120.748V     0112.204_0120.518i   17:40:20.076   -53:42:23.98
  0113.246_0193.569V     0112.600_0193.419i   17:40:20.065   -53:41:47.81
  0113.285_0494.840V     0112.602_0494.701i   17:40:19.927   -53:39:18.19
  0113.316_0511.163V     0112.316_0510.936i   17:40:19.921   -53:39:10.08
  0113.398_0187.309V     0113.091_0186.590i   17:40:20.077   -53:41:50.92
  0113.433_0073.978V     0113.223_0073.574i   17:40:20.132   -53:42:47.21
  0113.737_0293.930V     0113.013_0293.847i   17:40:20.046   -53:40:57.97
  0114.296_1108.971V     0113.751_1108.761i   17:40:19.697   -53:34:13.17
  0115.053_0229.072V     0114.399_0228.900i   17:40:20.150   -53:41:30.17
  0115.089_0678.015V     0114.430_0677.855i   17:40:19.942   -53:37:47.21
