# ID_V                   ID_I                      RA             DEC
  0525.671_0043.436V     0525.106_0043.229i   17:40:43.211   -53:43:00.53
  0525.700_0063.120V     0525.003_0063.021i   17:40:43.202   -53:42:50.75
  0525.859_0269.206V     0525.094_0269.153i   17:40:43.099   -53:41:08.40
  0526.453_0518.239V     0525.727_0517.932i   17:40:42.997   -53:39:04.71
  0526.508_0176.895V     0525.857_0176.612i   17:40:43.185   -53:41:54.24
  0526.534_0574.125V     0525.779_0574.079i   17:40:42.971   -53:38:36.96
  0526.670_0611.994V     0525.989_0611.954i   17:40:42.958   -53:38:18.15
  0526.711_0502.778V     0525.914_0502.747i   17:40:43.020   -53:39:12.39
  0526.929_0565.304V     0525.916_0565.311i   17:40:42.998   -53:38:41.34
  0527.074_0368.807V     0526.214_0368.859i   17:40:43.113   -53:40:18.93
  0527.078_0164.924V     0526.346_0164.749i   17:40:43.223   -53:42:00.18
  0527.116_0584.912V     0526.361_0584.896i   17:40:42.998   -53:38:31.60
  0527.125_0903.889V     0526.463_0903.816i   17:40:42.826   -53:35:53.18
  0527.307_0736.618V     0526.382_0736.651i   17:40:42.926   -53:37:16.25
  0527.360_0196.186V     0526.743_0196.048i   17:40:43.222   -53:41:44.66
  0527.455_0415.196V     0526.826_0414.821i   17:40:43.109   -53:39:55.88
  0527.498_0387.634V     0526.669_0387.578i   17:40:43.126   -53:40:09.57
  0527.789_0534.691V     0527.052_0535.189i   17:40:43.063   -53:38:56.54
  0527.977_0242.485V     0527.400_0241.954i   17:40:43.232   -53:41:21.66
  0528.157_0478.364V     0527.332_0478.487i   17:40:43.114   -53:39:24.51
  0528.194_0426.553V     0527.131_0426.468i   17:40:43.144   -53:39:50.24
  0528.244_0284.730V     0526.715_0285.541i   17:40:43.224   -53:41:00.68
  0528.263_0307.685V     0527.473_0307.577i   17:40:43.212   -53:40:49.28
  0528.416_0679.541V     0527.666_0679.548i   17:40:43.019   -53:37:44.59
  0528.473_0320.233V     0528.123_0320.137i   17:40:43.217   -53:40:43.04
  0528.718_0316.346V     0527.269_0316.283i   17:40:43.233   -53:40:44.97
  0528.982_0485.748V     0528.957_0485.017i   17:40:43.156   -53:39:20.84
  0529.027_0956.881V     0528.357_0956.781i   17:40:42.903   -53:35:26.85
  0529.245_0396.182V     0528.435_0396.182i   17:40:43.219   -53:40:05.32
  0529.277_0249.561V     0528.546_0249.447i   17:40:43.300   -53:41:18.14
  0529.569_0659.327V     0528.845_0659.338i   17:40:43.094   -53:37:54.63
  0529.948_0171.145V     0529.165_0171.158i   17:40:43.381   -53:41:57.08
  0530.010_0217.726V     0529.253_0217.611i   17:40:43.359   -53:41:33.94
  0530.305_0498.110V     0529.608_0497.945i   17:40:43.223   -53:39:14.69
  0530.321_0303.335V     0529.652_0303.191i   17:40:43.330   -53:40:51.43
  0530.430_0351.803V     0529.367_0351.588i   17:40:43.309   -53:40:27.35
  0530.687_0206.828V     0530.051_0206.898i   17:40:43.402   -53:41:39.35
  0530.732_0337.920V     0530.190_0337.030i   17:40:43.334   -53:40:34.25
  0530.816_0079.737V     0530.046_0079.673i   17:40:43.479   -53:42:42.47
  0530.894_0197.798V     0530.201_0197.713i   17:40:43.419   -53:41:43.84
  0530.919_0156.112V     0530.182_0156.036i   17:40:43.443   -53:42:04.54
  0531.102_0455.142V     0530.476_0455.488i   17:40:43.291   -53:39:36.03
  0531.147_0755.862V     0530.348_0755.857i   17:40:43.130   -53:37:06.68
  0531.211_0543.780V     0530.419_0543.750i   17:40:43.249   -53:38:52.01
  0531.221_0667.162V     0530.483_0667.259i   17:40:43.182   -53:37:50.73
  0531.271_0026.827V     0530.312_0026.714i   17:40:43.533   -53:43:08.75
  0531.294_0179.029V     0530.561_0178.959i   17:40:43.452   -53:41:53.16
  0531.501_0960.993V     0530.906_0960.847i   17:40:43.039   -53:35:24.80
  0531.635_1041.636V     0530.904_1041.553i   17:40:43.003   -53:34:44.75
  0531.708_0739.284V     0530.933_0739.229i   17:40:43.170   -53:37:14.91
  0531.785_0407.065V     0530.325_0405.781i   17:40:43.355   -53:39:59.90
  0531.972_0230.797V     0531.241_0230.675i   17:40:43.461   -53:41:27.44
  0532.083_0839.275V     0531.348_0839.326i   17:40:43.137   -53:36:25.25
  0532.154_0367.056V     0531.304_0367.011i   17:40:43.397   -53:40:19.77
  0532.290_0516.898V     0531.555_0516.809i   17:40:43.324   -53:39:05.35
  0532.515_0334.563V     0531.964_0334.064i   17:40:43.435   -53:40:35.91
  0532.656_0281.886V     0531.620_0282.086i   17:40:43.472   -53:41:02.07
  0532.723_0560.434V     0531.923_0560.429i   17:40:43.324   -53:38:43.73
  0533.154_0789.687V     0532.408_0789.707i   17:40:43.224   -53:36:49.87
  0533.294_0869.231V     0532.528_0869.140i   17:40:43.189   -53:36:10.36
  0533.432_0422.945V     0532.722_0422.866i   17:40:43.438   -53:39:52.01
  0533.457_0448.538V     0532.549_0448.210i   17:40:43.426   -53:39:39.30
  0533.514_0926.664V     0532.944_0926.751i   17:40:43.170   -53:35:41.84
  0533.530_0353.643V     0532.693_0353.460i   17:40:43.482   -53:40:26.43
  0533.719_0045.087V     0533.015_0044.994i   17:40:43.660   -53:42:59.67
  0533.813_0385.552V     0533.131_0385.418i   17:40:43.480   -53:40:10.58
  0533.932_0799.310V     0533.312_0799.071i   17:40:43.262   -53:36:45.09
  0534.546_0112.527V     0533.781_0112.439i   17:40:43.670   -53:42:26.17
  0534.586_0188.557V     0533.919_0188.472i   17:40:43.630   -53:41:48.41
  0534.647_0066.248V     0533.963_0066.107i   17:40:43.700   -53:42:49.15
  0534.658_0530.451V     0533.981_0530.335i   17:40:43.449   -53:38:58.61
  0534.675_0380.073V     0533.953_0380.095i   17:40:43.531   -53:40:13.29
  0535.193_0402.724V     0534.329_0402.678i   17:40:43.548   -53:40:02.04
  0535.375_0020.886V     0534.814_0020.696i   17:40:43.766   -53:43:11.68
  0535.807_0918.329V     0535.145_0918.265i   17:40:43.302   -53:35:45.97
  0535.922_0370.721V     0534.507_0370.901i   17:40:43.606   -53:40:17.93
  0535.970_0752.643V     0535.272_0752.608i   17:40:43.401   -53:37:08.25
  0536.099_0495.422V     0535.345_0495.391i   17:40:43.548   -53:39:16.00
  0536.150_1036.042V     0535.425_1036.090i   17:40:43.257   -53:34:47.50
  0536.483_0389.075V     0535.737_0389.117i   17:40:43.627   -53:40:08.81
  0536.732_0345.237V     0536.001_0345.321i   17:40:43.665   -53:40:30.58
  0536.751_0350.249V     0536.238_0350.516i   17:40:43.663   -53:40:28.10
  0536.895_0480.390V     0538.572_0480.546i   17:40:43.601   -53:39:23.46
  0536.906_0106.886V     0536.163_0106.810i   17:40:43.805   -53:42:28.96
  0536.947_0232.304V     0536.170_0232.346i   17:40:43.739   -53:41:26.67
  0536.978_0796.939V     0536.322_0796.897i   17:40:43.433   -53:36:46.25
  0537.166_0273.463V     0536.352_0273.406i   17:40:43.728   -53:41:06.23
  0537.285_0246.875V     0536.611_0246.781i   17:40:43.750   -53:41:19.43
  0537.369_0375.143V     0536.589_0375.131i   17:40:43.684   -53:40:15.73
  0537.402_0383.900V     0536.728_0383.780i   17:40:43.682   -53:40:11.38
  0537.447_0803.860V     0536.852_0803.830i   17:40:43.456   -53:36:42.81
  0537.498_0052.266V     0536.749_0052.229i   17:40:43.868   -53:42:56.08
  0537.587_0214.550V     0536.814_0214.455i   17:40:43.784   -53:41:35.49
  0537.612_0282.231V     0536.900_0282.200i   17:40:43.749   -53:41:01.87
  0537.929_0297.693V     0537.158_0297.783i   17:40:43.758   -53:40:54.19
  0538.043_0865.580V     0537.307_0865.572i   17:40:43.456   -53:36:12.15
  0538.069_0252.572V     0537.307_0252.468i   17:40:43.790   -53:41:16.60
  0538.222_0044.958V     0537.618_0044.818i   17:40:43.912   -53:42:59.71
  0538.270_0393.550V     0538.441_0393.379i   17:40:43.725   -53:40:06.58
  0538.345_0202.301V     0537.543_0202.213i   17:40:43.833   -53:41:41.57
  0538.518_0520.669V     0537.822_0520.673i   17:40:43.669   -53:39:03.45
  0538.625_0239.725V     0537.925_0239.693i   17:40:43.828   -53:41:22.98
  0538.727_0319.763V     0537.999_0319.685i   17:40:43.791   -53:40:43.23
  0538.958_0636.302V     0538.163_0636.310i   17:40:43.631   -53:38:06.02
  0539.077_0180.205V     0538.233_0180.290i   17:40:43.886   -53:41:52.54
  0539.210_0695.092V     0538.378_0695.016i   17:40:43.613   -53:37:36.82
  0539.445_0484.976V     0538.666_0484.915i   17:40:43.741   -53:39:21.17
  0539.555_0550.146V     0538.356_0550.011i   17:40:43.711   -53:38:48.80
  0539.681_0175.778V     0539.063_0175.844i   17:40:43.922   -53:41:54.73
  0539.785_1042.185V     0539.175_1042.109i   17:40:43.457   -53:34:44.44
  0539.827_0687.996V     0539.031_0688.052i   17:40:43.652   -53:37:40.34
  0539.881_0445.829V     0538.940_0445.858i   17:40:43.786   -53:39:40.61
  0540.292_0490.132V     0539.516_0490.640i   17:40:43.785   -53:39:18.61
  0540.815_0301.716V     0539.980_0301.980i   17:40:43.917   -53:40:52.18
  0540.818_0812.839V     0540.091_0812.887i   17:40:43.639   -53:36:38.33
  0541.077_0307.109V     0540.479_0306.770i   17:40:43.929   -53:40:49.50
  0541.264_0733.655V     0540.518_0733.657i   17:40:43.707   -53:37:17.66
  0541.584_0292.575V     0541.096_0292.810i   17:40:43.965   -53:40:56.72
  0541.776_0037.191V     0541.204_0037.049i   17:40:44.115   -53:43:03.55
  0541.789_0260.835V     0540.944_0260.812i   17:40:43.994   -53:41:12.48
  0542.047_0661.819V     0541.277_0661.790i   17:40:43.790   -53:37:53.33
  0542.195_0029.307V     0541.396_0029.323i   17:40:44.143   -53:43:07.46
  0542.357_0192.403V     0541.764_0192.319i   17:40:44.063   -53:41:46.46
  0542.433_0255.904V     0541.628_0255.824i   17:40:44.033   -53:41:14.92
  0542.576_0141.325V     0541.889_0141.205i   17:40:44.103   -53:42:11.83
  0542.588_0373.504V     0541.800_0373.401i   17:40:43.977   -53:40:16.52
  0542.658_0967.192V     0542.010_0967.034i   17:40:43.658   -53:35:21.67
  0542.686_0530.013V     0541.871_0530.054i   17:40:43.897   -53:38:58.79
  0542.711_0522.518V     0541.910_0522.360i   17:40:43.903   -53:39:02.51
  0542.804_0020.225V     0542.119_0020.140i   17:40:44.182   -53:43:11.97
  0542.879_0392.696V     0542.127_0392.632i   17:40:43.983   -53:40:06.98
  0542.894_0387.460V     0542.141_0387.318i   17:40:43.987   -53:40:09.59
  0543.089_0403.388V     0542.794_0402.765i   17:40:43.989   -53:40:01.67
  0543.106_0605.632V     0542.351_0605.576i   17:40:43.879   -53:38:21.23
  0543.128_0536.194V     0542.492_0536.146i   17:40:43.919   -53:38:55.72
  0543.178_0835.861V     0542.459_0835.834i   17:40:43.758   -53:36:26.89
  0543.468_0244.067V     0542.540_0244.143i   17:40:44.097   -53:41:20.80
  0543.538_0352.240V     0542.841_0352.193i   17:40:44.042   -53:40:27.07
  0544.171_0319.985V     0543.574_0319.832i   17:40:44.095   -53:40:43.09
  0544.407_0210.071V     0543.704_0209.831i   17:40:44.168   -53:41:37.68
  0544.457_0198.214V     0545.755_0198.559i   17:40:44.177   -53:41:43.57
  0544.470_0444.599V     0543.458_0444.674i   17:40:44.043   -53:39:41.20
  0544.601_0463.690V     0544.442_0463.696i   17:40:44.040   -53:39:31.72
  0544.640_0186.073V     0543.844_0185.979i   17:40:44.194   -53:41:49.59
  0544.682_0086.983V     0544.063_0086.863i   17:40:44.251   -53:42:38.81
  0544.691_0324.343V     0543.865_0324.305i   17:40:44.121   -53:40:40.92
  0544.693_0247.631V     0543.994_0247.590i   17:40:44.163   -53:41:19.02
  0544.894_0434.267V     0544.062_0434.354i   17:40:44.073   -53:39:46.33
  0545.034_0399.327V     0544.654_0398.948i   17:40:44.100   -53:40:03.68
  0545.103_0486.907V     0544.247_0486.892i   17:40:44.056   -53:39:20.18
  0545.239_0477.305V     0544.370_0477.521i   17:40:44.069   -53:39:24.95
  0545.265_0452.719V     0544.738_0452.640i   17:40:44.083   -53:39:37.16
  0545.361_0295.202V     0544.707_0295.214i   17:40:44.175   -53:40:55.39
  0545.458_0582.812V     0544.672_0582.792i   17:40:44.023   -53:38:32.55
  0545.484_0946.608V     0544.722_0946.596i   17:40:43.827   -53:35:31.88
  0545.628_0080.374V     0545.108_0080.634i   17:40:44.307   -53:42:42.08
  0545.651_0595.637V     0544.789_0595.555i   17:40:44.027   -53:38:26.18
  0545.695_0430.582V     0544.903_0430.523i   17:40:44.120   -53:39:48.16
  0545.783_0482.506V     0544.906_0482.483i   17:40:44.096   -53:39:22.37
  0546.424_0573.469V     0545.689_0573.486i   17:40:44.082   -53:38:37.19
  0546.470_0104.864V     0545.738_0104.857i   17:40:44.341   -53:42:29.92
  0546.522_0690.398V     0545.756_0690.447i   17:40:44.024   -53:37:39.12
  0546.699_0421.680V     0546.076_0421.882i   17:40:44.180   -53:39:52.57
  0546.798_0341.529V     0546.071_0341.534i   17:40:44.230   -53:40:32.38
  0546.917_0286.931V     0546.219_0286.983i   17:40:44.266   -53:40:59.49
  0547.063_0121.702V     0546.465_0121.729i   17:40:44.365   -53:42:21.55
  0547.193_0410.417V     0546.400_0410.335i   17:40:44.214   -53:39:58.16
  0547.338_0366.361V     0546.513_0366.372i   17:40:44.246   -53:40:20.04
  0548.307_0539.763V     0547.599_0539.746i   17:40:44.206   -53:38:53.92
  0548.621_0385.599V     0547.851_0385.516i   17:40:44.308   -53:40:10.48
  0548.673_0125.338V     0548.033_0125.381i   17:40:44.453   -53:42:19.74
  0548.690_0626.546V     0547.875_0626.516i   17:40:44.180   -53:38:10.82
  0548.836_0535.196V     0548.071_0535.159i   17:40:44.238   -53:38:56.18
  0548.841_0231.691V     0548.092_0231.465i   17:40:44.404   -53:41:26.92
  0549.036_0357.153V     0548.113_0356.757i   17:40:44.346   -53:40:24.61
  0549.228_0034.635V     0548.472_0034.782i   17:40:44.534   -53:43:04.78
  0549.232_0203.460V     0548.550_0203.605i   17:40:44.441   -53:41:40.94
  0549.576_0186.563V     0548.732_0186.544i   17:40:44.470   -53:41:49.33
  0549.853_0528.602V     0549.120_0528.491i   17:40:44.298   -53:38:59.45
  0550.057_0585.292V     0549.460_0585.142i   17:40:44.279   -53:38:31.30
  0550.149_0900.964V     0549.437_0900.905i   17:40:44.112   -53:35:54.52
  0550.156_0344.289V     0549.377_0344.237i   17:40:44.416   -53:40:30.99
  0550.251_0495.535V     0549.407_0495.630i   17:40:44.339   -53:39:15.87
  0550.460_0601.966V     0549.777_0601.942i   17:40:44.292   -53:38:23.02
  0550.610_0298.531V     0549.915_0298.400i   17:40:44.466   -53:40:53.71
  0550.618_0334.286V     0549.769_0334.084i   17:40:44.447   -53:40:35.96
  0550.701_0166.444V     0550.065_0166.288i   17:40:44.544   -53:41:59.31
  0550.859_0595.388V     0549.796_0595.493i   17:40:44.318   -53:38:26.28
  0550.952_0110.789V     0550.044_0110.855i   17:40:44.588   -53:42:26.95
  0551.089_0207.488V     0550.548_0208.087i   17:40:44.543   -53:41:38.93
  0551.202_0458.341V     0550.462_0458.372i   17:40:44.412   -53:39:34.34
  0551.291_0507.536V     0550.589_0507.354i   17:40:44.390   -53:39:09.91
  0551.300_0414.392V     0550.608_0414.370i   17:40:44.442   -53:39:56.17
  0551.627_0833.938V     0550.838_0833.953i   17:40:44.231   -53:36:27.80
  0551.784_0310.073V     0551.042_0309.987i   17:40:44.526   -53:40:47.98
  0552.218_0632.842V     0551.446_0632.832i   17:40:44.373   -53:38:07.67
  0552.242_0938.847V     0551.627_0938.690i   17:40:44.208   -53:35:35.70
  0552.411_0274.329V     0551.609_0274.209i   17:40:44.580   -53:41:05.72
  0552.437_0323.374V     0552.234_0322.819i   17:40:44.555   -53:40:41.37
  0552.491_0637.323V     0551.708_0637.363i   17:40:44.386   -53:38:05.45
  0552.565_0306.012V     0551.649_0306.243i   17:40:44.572   -53:40:49.99
  0552.800_0232.116V     0552.060_0232.027i   17:40:44.625   -53:41:26.69
  0552.840_0355.233V     0552.229_0355.342i   17:40:44.560   -53:40:25.54
  0553.268_0289.450V     0552.476_0289.381i   17:40:44.620   -53:40:58.21
  0553.309_0331.453V     0552.524_0331.731i   17:40:44.599   -53:40:37.35
  0553.692_0161.286V     0553.088_0161.148i   17:40:44.714   -53:42:01.86
  0554.151_0358.523V     0553.436_0359.435i   17:40:44.631   -53:40:23.90
  0554.151_0500.919V     0553.356_0500.787i   17:40:44.554   -53:39:13.18
  0554.159_1064.055V     0553.504_1064.041i   17:40:44.247   -53:34:33.50
  0554.337_0373.104V     0553.700_0373.108i   17:40:44.634   -53:40:16.66
  0554.372_0093.903V     0553.681_0093.844i   17:40:44.789   -53:42:35.32
  0554.413_0285.741V     0553.799_0285.801i   17:40:44.686   -53:41:00.05
  0554.457_0422.052V     0553.552_0422.037i   17:40:44.614   -53:39:52.35
  0554.520_0383.781V     0553.606_0383.615i   17:40:44.638   -53:40:11.36
  0554.613_0315.340V     0553.981_0315.334i   17:40:44.681   -53:40:45.35
  0554.819_0486.116V     0555.747_0485.761i   17:40:44.599   -53:39:20.53
  0554.872_0668.938V     0554.152_0668.899i   17:40:44.502   -53:37:49.73
  0555.052_0464.061V     0554.387_0464.069i   17:40:44.624   -53:39:31.48
  0555.125_0393.809V     0554.491_0393.753i   17:40:44.667   -53:40:06.37
  0555.163_0658.917V     0554.360_0658.930i   17:40:44.524   -53:37:54.71
  0555.412_0511.577V     0554.635_0511.538i   17:40:44.618   -53:39:07.88
  0555.469_0407.075V     0554.602_0406.958i   17:40:44.679   -53:39:59.78
  0556.205_0182.280V     0555.533_0181.994i   17:40:44.843   -53:41:51.42
  0556.211_0747.550V     0555.559_0747.526i   17:40:44.534   -53:37:10.68
  0556.216_0335.003V     0555.517_0334.820i   17:40:44.760   -53:40:35.57
  0556.268_0417.962V     0555.515_0417.902i   17:40:44.717   -53:39:54.37
  0556.372_0200.338V     0555.748_0200.367i   17:40:44.842   -53:41:42.45
  0556.394_0455.619V     0555.758_0455.166i   17:40:44.704   -53:39:35.67
  0556.419_1081.652V     0555.890_1081.519i   17:40:44.363   -53:34:24.75
  0556.659_0538.330V     0555.906_0538.196i   17:40:44.673   -53:38:54.59
  0556.906_0568.082V     0556.193_0568.016i   17:40:44.671   -53:38:39.81
  0556.913_0893.986V     0556.182_0893.946i   17:40:44.493   -53:35:57.95
  0557.049_0578.575V     0556.221_0578.554i   17:40:44.673   -53:38:34.60
  0557.076_0174.599V     0556.442_0174.325i   17:40:44.896   -53:41:55.23
  0557.106_0403.043V     0556.285_0403.045i   17:40:44.772   -53:40:01.78
  0557.338_0324.884V     0556.879_0324.468i   17:40:44.828   -53:40:40.59
  0557.642_0525.243V     0556.772_0525.121i   17:40:44.735   -53:39:01.08
  0557.776_0289.671V     0557.966_0290.460i   17:40:44.872   -53:40:58.08
  0557.962_0604.067V     0557.208_0604.070i   17:40:44.710   -53:38:21.94
  0558.084_0384.128V     0556.770_0385.161i   17:40:44.837   -53:40:11.17
  0558.709_0077.696V     0557.972_0077.683i   17:40:45.040   -53:42:43.35
  0558.911_0354.534V     0558.202_0354.579i   17:40:44.900   -53:40:25.86
  0559.100_0040.404V     0558.443_0040.558i   17:40:45.083   -53:43:01.87
  0559.199_0232.944V     0558.250_0232.940i   17:40:44.983   -53:41:26.25
  0559.352_0493.720V     0558.587_0493.658i   17:40:44.848   -53:39:16.73
  0559.396_0726.590V     0558.877_0726.448i   17:40:44.723   -53:37:21.08
  0559.603_0441.855V     0558.908_0441.736i   17:40:44.890   -53:39:42.49
  0559.704_0340.701V     0558.892_0340.603i   17:40:44.952   -53:40:32.73
  0559.841_0467.202V     0559.082_0467.254i   17:40:44.890   -53:39:29.90
  0559.941_0458.701V     0559.063_0458.636i   17:40:44.900   -53:39:34.12
  0560.018_0409.778V     0559.202_0409.707i   17:40:44.931   -53:39:58.42
  0560.025_0513.583V     0559.268_0513.549i   17:40:44.875   -53:39:06.86
  0560.153_0119.585V     0559.453_0119.500i   17:40:45.098   -53:42:22.54
  0560.371_0159.894V     0559.581_0159.898i   17:40:45.088   -53:42:02.52
  0560.411_0947.504V     0559.744_0947.434i   17:40:44.659   -53:35:31.36
  0560.413_0419.631V     0559.857_0419.388i   17:40:44.948   -53:39:53.52
  0560.457_0301.586V     0559.622_0301.411i   17:40:45.015   -53:40:52.15
  0560.585_0867.424V     0559.971_0867.386i   17:40:44.712   -53:36:11.13
  0560.608_0100.932V     0559.751_0100.879i   17:40:45.134   -53:42:31.80
  0560.673_0502.013V     0559.485_0502.233i   17:40:44.917   -53:39:12.61
  0560.819_0064.788V     0560.155_0064.698i   17:40:45.165   -53:42:49.75
  0560.861_0913.848V     0560.281_0913.826i   17:40:44.702   -53:35:48.07
  0560.912_0198.790V     0560.394_0198.587i   17:40:45.097   -53:41:43.20
  0561.161_0528.401V     0560.320_0528.326i   17:40:44.930   -53:38:59.50
  0561.178_0718.066V     0560.718_0718.026i   17:40:44.827   -53:37:25.30
  0561.441_0390.025V     0560.626_0389.971i   17:40:45.022   -53:40:08.22
  0561.539_0415.599V     0560.763_0415.491i   17:40:45.013   -53:39:55.52
  0561.619_0777.722V     0561.028_0777.749i   17:40:44.819   -53:36:55.67
  0561.727_0148.479V     0561.086_0148.451i   17:40:45.170   -53:42:08.18
  0561.933_0483.274V     0561.053_0483.321i   17:40:44.998   -53:39:21.91
  0561.960_0663.200V     0561.196_0663.201i   17:40:44.901   -53:37:52.55
  0562.338_0701.623V     0561.631_0701.511i   17:40:44.901   -53:37:33.46
  0562.355_0722.534V     0561.636_0722.492i   17:40:44.890   -53:37:23.08
  0562.438_0565.778V     0561.490_0565.942i   17:40:44.981   -53:38:40.93
  0562.726_0586.453V     0561.974_0586.398i   17:40:44.986   -53:38:30.66
  0562.809_0604.583V     0562.154_0604.740i   17:40:44.980   -53:38:21.66
  0562.866_0330.944V     0562.152_0330.902i   17:40:45.134   -53:40:37.56
  0562.955_0315.929V     0562.190_0315.832i   17:40:45.147   -53:40:45.01
  0563.059_0570.064V     0562.206_0570.112i   17:40:45.013   -53:38:38.80
  0563.154_0358.499V     0560.422_0358.591i   17:40:45.135   -53:40:23.87
  0563.450_0285.938V     0562.191_0286.100i   17:40:45.191   -53:40:59.91
  0563.663_0269.832V     0562.922_0269.835i   17:40:45.212   -53:41:07.90
  0563.711_0232.798V     0562.791_0232.747i   17:40:45.235   -53:41:26.30
  0563.717_0788.045V     0563.012_0788.088i   17:40:44.931   -53:36:50.54
  0563.844_0730.572V     0563.012_0730.487i   17:40:44.969   -53:37:19.08
  0563.941_0256.611V     0563.332_0256.772i   17:40:45.235   -53:41:14.47
  0564.025_0246.639V     0563.191_0246.715i   17:40:45.245   -53:41:19.42
  0564.062_0153.971V     0563.379_0153.963i   17:40:45.298   -53:42:05.44
  0564.100_0056.655V     0563.349_0056.652i   17:40:45.354   -53:42:53.77
  0564.158_0275.543V     0563.421_0275.487i   17:40:45.236   -53:41:05.06
  0564.213_0188.465V     0563.512_0188.390i   17:40:45.287   -53:41:48.31
  0564.318_0820.221V     0563.629_0820.137i   17:40:44.946   -53:36:34.55
  0564.328_0195.811V     0563.754_0195.441i   17:40:45.290   -53:41:44.66
  0564.666_0867.230V     0563.979_0867.166i   17:40:44.940   -53:36:11.20
  0564.784_0377.382V     0564.116_0377.061i   17:40:45.215   -53:40:14.48
  0564.952_1111.288V     0564.211_1111.355i   17:40:44.823   -53:34:09.99
  0565.005_0352.778V     0564.385_0352.533i   17:40:45.241   -53:40:26.70
  0565.043_0115.803V     0564.391_0115.651i   17:40:45.374   -53:42:24.39
  0565.065_0323.118V     0564.321_0322.857i   17:40:45.261   -53:40:41.43
  0565.119_0426.339V     0564.285_0426.314i   17:40:45.207   -53:39:50.17
  0565.203_0347.627V     0564.480_0347.548i   17:40:45.255   -53:40:29.26
  0565.300_0030.427V     0564.355_0030.195i   17:40:45.435   -53:43:06.79
  0565.492_0450.923V     0564.701_0450.809i   17:40:45.215   -53:39:37.96
  0565.554_0242.824V     0565.266_0243.532i   17:40:45.332   -53:41:21.31
  0565.670_1088.633V     0565.017_1088.530i   17:40:44.875   -53:34:21.24
  0565.868_0397.165V     0565.110_0397.063i   17:40:45.265   -53:40:04.65
  0566.322_0578.397V     0565.540_0578.282i   17:40:45.191   -53:38:34.64
  0566.394_0555.848V     0565.511_0555.744i   17:40:45.207   -53:38:45.84
  0566.504_0503.302V     0565.827_0503.213i   17:40:45.242   -53:39:11.94
  0566.543_0302.125V     0565.805_0302.144i   17:40:45.355   -53:40:51.85
  0566.628_0171.312V     0566.093_0170.628i   17:40:45.432   -53:41:56.82
  0566.653_0716.942V     0565.969_0716.982i   17:40:45.133   -53:37:25.83
  0566.857_0403.029V     0566.329_0402.994i   17:40:45.317   -53:40:01.74
  0566.938_0525.244V     0566.146_0525.168i   17:40:45.255   -53:39:01.04
  0567.100_0537.407V     0566.345_0537.529i   17:40:45.257   -53:38:55.00
  0567.137_0618.923V     0566.234_0618.996i   17:40:45.214   -53:38:14.51
  0567.368_0363.146V     0566.785_0363.315i   17:40:45.368   -53:40:21.54
  0567.440_0355.803V     0566.779_0355.557i   17:40:45.376   -53:40:25.19
  0567.566_0416.853V     0566.794_0416.811i   17:40:45.349   -53:39:54.87
  0567.680_0128.945V     0566.947_0128.999i   17:40:45.514   -53:42:17.85
  0567.686_0254.365V     0567.028_0254.150i   17:40:45.445   -53:41:15.57
  0567.813_0727.397V     0566.997_0727.449i   17:40:45.192   -53:37:20.64
  0568.083_0485.875V     0567.263_0485.846i   17:40:45.340   -53:39:20.59
  0568.146_0206.409V     0567.232_0206.395i   17:40:45.497   -53:41:39.38
  0568.245_0469.536V     0567.518_0469.425i   17:40:45.358   -53:39:28.70
  0568.527_0035.149V     0567.805_0034.941i   17:40:45.613   -53:43:04.43
  0568.555_0628.411V     0567.613_0628.462i   17:40:45.288   -53:38:09.79
  0568.614_0246.148V     0567.949_0246.219i   17:40:45.502   -53:41:19.64
  0569.310_0343.801V     0568.852_0343.792i   17:40:45.487   -53:40:31.14
  0569.331_0305.224V     0568.564_0305.231i   17:40:45.509   -53:40:50.30
  0569.371_0534.169V     0568.616_0534.103i   17:40:45.386   -53:38:56.59
  0569.426_0262.948V     0568.663_0262.891i   17:40:45.538   -53:41:11.29
  0569.741_0672.200V     0569.009_0672.185i   17:40:45.330   -53:37:48.04
  0569.831_0712.567V     0568.978_0712.541i   17:40:45.313   -53:37:27.99
  0570.272_0598.255V     0569.536_0598.325i   17:40:45.401   -53:38:24.76
  0570.377_0447.507V     0569.675_0447.342i   17:40:45.489   -53:39:39.63
  0570.474_0104.863V     0569.675_0104.686i   17:40:45.684   -53:42:29.80
  0570.707_0230.957V     0570.817_0229.830i   17:40:45.627   -53:41:27.18
  0570.789_0777.742V     0570.057_0777.697i   17:40:45.331   -53:36:55.62
  0570.823_0166.339V     0570.418_0166.066i   17:40:45.669   -53:41:59.27
  0570.977_0502.008V     0570.229_0501.962i   17:40:45.493   -53:39:12.56
  0571.186_0392.018V     0570.382_0391.854i   17:40:45.565   -53:40:07.18
  0571.197_0476.690V     0570.265_0476.650i   17:40:45.519   -53:39:25.13
  0571.267_0683.126V     0570.517_0683.086i   17:40:45.410   -53:37:42.61
  0571.295_0594.089V     0570.454_0594.132i   17:40:45.460   -53:38:26.83
  0571.598_0540.015V     0570.835_0540.052i   17:40:45.507   -53:38:53.68
  0571.726_0409.070V     0570.983_0409.028i   17:40:45.586   -53:39:58.71
  0572.012_0523.579V     0571.262_0523.648i   17:40:45.539   -53:39:01.84
  0572.758_0566.638V     0572.030_0566.826i   17:40:45.557   -53:38:40.45
